Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Ncombos
A1,737.1340261,71,0.423362069,0.386286739,SRIA-PI,12,0.434113728,"[[110.0, 20.860689828757515, 4.175, 'e']]",8879,4
A1,414.1140132,47,0.422820026,0.399889446,SRIA-PI,12,0.519180692,"[[110.0, 21.941416685944198, 4.175, 'e']]",5459,4
A1,446.0168782,56,0.421050783,0.372340284,SRIA-PI,12,0.493254876,"[[110.0, 23.925913057868566, 4.175, 'e']]",1449,4
A1,606.3933949,49,0.42187462,0.347740969,SRIA-PI,9,0.494728344,"[[110.0, 23.119060968782648, 4.175, 'e']]",4313,3
A1,823.0045962,65,0.423523195,0.342290628,SRIA-PI,9,0.445522016,"[[110.0, 19.812657896671237, 4.175, 'e']]",2929,3
A1,591.3465653,50,0.422930119,0.485641537,SRIA-PI,9,0.462221901,"[[110.0, 21.767369858383617, 4.175, 'e']]",8313,3
A1,616.4947108,47,0.423516265,0.350658134,SRIA-PI,9,0.454180701,"[[110.0, 19.70232403737022, 4.175, 'e']]",9494,3
A1,703.4422357,57,0.423364359,0.36315274,SRIA-PI,9,0.435951456,"[[110.0, 20.85395422915411, 4.175, 'e']]",6444,3
A1,808.4871977,63,0.422678932,0.394073327,SRIA-PI,9,0.470013627,"[[110.0, 17.951611957924168, 4.175, 'e']]",5427,3
A1,583.8175349,50,0.42335264,0.498746047,SRIA-PI,9,0.491020995,"[[110.0, 20.88835204772574, 4.175, 'e']]",7140,3
A1,453.7633872,31,0.423364637,0.36436799,SRIA-PI,9,0.426066401,"[[110.0, 20.853081308120085, 4.175, 'e']]",4889,3
A1,769.7771145,56,0.423459268,0.42866125,SRIA-PI,9,0.441686293,"[[110.0, 20.511009814395557, 4.175, 'e']]",247,3
A1,551.4180339,49,0.423282688,0.424766891,SRIA-PI,9,0.556141888,"[[109.91880893707275, 20.97911571990948, 4.175, 'e']]",9311,3
A1,729.5780333,58,0.420863601,0.446080736,SRIA-PI,9,0.466022803,"[[110.0, 16.583530213001392, 4.175, 'e']]",7453,3
A1,750.5818195,50,0.422887537,0.416421418,SRIA-PI,9,0.426335933,"[[109.31721687316895, 19.769109156776047, 4.175, 'e']]",4054,3
A1,550.669406,48,0.423398518,0.455576653,SRIA-PI,9,0.532685001,"[[110.0, 19.127504887992806, 4.175, 'e']]",742,3
A1,793.0267958,62,0.423510463,0.456527985,SRIA-PI,9,0.487583356,"[[110.0, 20.196032108542262, 4.175, 'e']]",4945,3
A1,440.1792888,38,0.423257801,0.361848999,SRIA-PI,9,0.530087033,"[[110.0, 21.134956533360587, 4.175, 'e']]",9623,3
A1,600.7840341,51,0.421194287,0.41808156,SRIA-PI,9,0.532637324,"[[110.0, 16.77748083711943, 4.175, 'e']]",5966,3
A1,489.1694407,40,0.421958335,0.397921766,SRIA-PI,9,0.517884627,"[[108.00722599029541, 21.60509114258435, 4.175, 'e']]",3130,3
A1,533.2495879,47,0.422957972,0.520113467,SRIA-PI,9,0.52508245,"[[110.0, 18.290478263554725, 4.175, 'e']]",6574,3
A1,750.7701294,65,0.423314334,0.504330117,SRIA-PI,9,0.45286831,"[[109.74554061889648, 19.88497026840338, 4.175, 'e']]",9297,3
A1,466.8298743,39,0.42351635,0.346306922,SRIA-PI,9,0.514105916,"[[110.0, 19.703167716182563, 4.175, 'e']]",6622,3
A1,494.8173337,54,0.423204213,0.549568712,SRIA-PI,9,0.592811353,"[[110.0, 21.25616612159867, 4.175, 'e']]",5710,3
A1,531.3529917,54,0.423079491,0.460399685,SRIA-PI,9,0.5896896,"[[110.0, 21.506484249191622, 4.175, 'e']]",9452,3
A1,612.9469009,55,0.423150165,0.548798093,SRIA-PI,9,0.532944479,"[[110.0, 18.582131967558542, 4.175, 'e']]",8451,3
A1,557.733864,49,0.423510445,0.490779919,SRIA-PI,9,0.537890954,"[[110.0, 20.1962095045029, 4.175, 'e']]",4203,3
A1,460.3094379,41,0.422725208,0.340712378,SRIA-PI,9,0.535871408,"[[110.0, 22.081885920662177, 4.175, 'e']]",7692,3
A1,640.3999448,44,0.423405003,0.380028836,SRIA-PI,9,0.416406449,"[[110.0, 20.7238658349457, 4.175, 'e']]",9181,3
A1,722.5911147,61,0.423081667,0.45940953,SRIA-PI,9,0.516659181,"[[110.0, 18.470472357142047, 4.175, 'e']]",2103,3
A1,581.2066664,42,0.422567205,0.394983771,SRIA-PI,9,0.481756346,"[[110.0, 22.300898533104185, 4.175, 'e']]",8879,3
A1,576.2634623,40,0.423521922,0.386490754,SRIA-PI,9,0.439613736,"[[110.0, 19.785150713698226, 4.175, 'e']]",5459,3
A1,713.6086011,58,0.423069723,0.409028337,SRIA-PI,9,0.476451656,"[[110.0, 21.524635712160226, 4.175, 'e']]",1449,3
A1,848.2132057,51,0.42348377,0.445000099,SRIA-PI,6,0.530526991,"[[110.0, 20.386363409923515, 4.175, 'e']]",4313,2
A1,967.1858194,56,0.423478744,0.453805838,SRIA-PI,6,0.537642291,"[[110.0, 20.414406663860557, 4.175, 'e']]",2929,2
A1,697.3768258,41,0.423298629,0.451757099,SRIA-PI,6,0.544899093,"[[110.0, 18.86986860444547, 4.175, 'e']]",8313,2
A1,961.0552603,60,0.423507382,0.458026693,SRIA-PI,6,0.520261447,"[[110.0, 20.223909303726078, 4.175, 'e']]",9494,2
A1,746.3113352,46,0.423522569,0.410418681,SRIA-PI,6,0.589566283,"[[110.0, 19.798225650343035, 4.175, 'e']]",6444,2
A1,845.0233396,45,0.423502457,0.396168712,SRIA-PI,6,0.508861684,"[[110.0, 20.263969286586583, 4.175, 'e']]",5427,2
A1,702.6738715,45,0.422199414,0.510869944,SRIA-PI,6,0.526560066,"[[110.0, 22.75794277697458, 4.175, 'e']]",7140,2
A1,902.4398137,46,0.42326391,0.42766615,SRIA-PI,6,0.47648607,"[[110.0, 21.12035529498786, 4.175, 'e']]",4889,2
A1,791.69871,44,0.423471776,0.476921588,SRIA-PI,6,0.517873775,"[[110.0, 20.45086920896786, 4.175, 'e']]",247,2
A1,700.7393992,39,0.422448753,0.410999834,SRIA-PI,6,0.556554977,"[[110.0, 22.45502132272772, 4.175, 'e']]",9311,2
A1,825.0830933,44,0.423523175,0.399922079,SRIA-PI,6,0.484799656,"[[110.0, 19.81209911231987, 4.175, 'e']]",7453,2
A1,706.5578156,41,0.422981299,0.432482729,SRIA-PI,6,0.523665568,"[[110.0, 18.32257386588955, 4.175, 'e']]",4054,2
A1,614.0996313,44,0.423517148,0.396589969,SRIA-PI,6,0.618792099,"[[110.0, 19.712913201942072, 4.175, 'e']]",742,2
A1,935.8482085,49,0.422531842,0.455033039,SRIA-PI,6,0.48084721,"[[110.0, 22.347780763102328, 4.175, 'e']]",4945,2
A1,1041.458836,50,0.423293142,0.386262921,SRIA-PI,6,0.470493872,"[[110.0, 21.048824766336786, 4.175, 'e']]",9623,2
A1,815.1916514,45,0.423513916,0.410698237,SRIA-PI,6,0.515216268,"[[110.0, 20.161223389631527, 4.175, 'e']]",5966,2
A1,836.690328,53,0.423520815,0.492264683,SRIA-PI,6,0.537833395,"[[110.0, 20.07015805822948, 4.175, 'e']]",3130,2
A1,734.3981472,38,0.423298533,0.439437909,SRIA-PI,6,0.517430499,"[[110.0, 21.035016304199456, 4.175, 'e']]",6574,2
A1,575.8840174,33,0.420793964,0.399668773,SRIA-PI,6,0.555667444,"[[110.0, 24.155176133830793, 4.175, 'e']]",9297,2
A1,702.0008856,45,0.423462199,0.442148112,SRIA-PI,6,0.555554855,"[[110.0, 19.356128844342155, 4.175, 'e']]",6622,2
A1,982.6548513,55,0.423522511,0.437487376,SRIA-PI,6,0.51900217,"[[110.0, 20.037668603102855, 4.175, 'e']]",5710,2
A1,938.9911427,52,0.422966946,0.43546212,SRIA-PI,6,0.457938292,"[[110.0, 21.706080482974993, 4.175, 'e']]",9452,2
A1,813.009699,41,0.423367573,0.476655513,SRIA-PI,6,0.504299027,"[[110.0, 20.84417101817417, 4.175, 'e']]",8451,2
A1,725.9142754,37,0.423318128,0.39092109,SRIA-PI,6,0.509702058,"[[110.0, 20.984065775533697, 4.175, 'e']]",4203,2
A1,847.8422154,42,0.422604844,0.409328018,SRIA-PI,6,0.471785897,"[[110.0, 22.250252877226252, 4.175, 'e']]",7692,2
A1,727.277803,44,0.423518366,0.442207552,SRIA-PI,6,0.549996162,"[[110.0, 20.107437937082185, 4.175, 'e']]",9181,2
A1,627.5187008,36,0.422208379,0.461933555,SRIA-PI,6,0.541816522,"[[108.82110595703125, 22.50510913899522, 4.175, 'e']]",2103,2
A1,908.1502631,48,0.423411688,0.414591244,SRIA-PI,6,0.506524106,"[[110.0, 19.168772070148517, 4.175, 'e']]",8879,2
A1,953.8583057,56,0.423118375,0.481098485,SRIA-PI,6,0.492735658,"[[110.0, 21.432231087291786, 4.175, 'e']]",5459,2
A1,839.8745308,42,0.42311443,0.440987095,SRIA-PI,6,0.488168155,"[[110.0, 21.43989055078785, 4.175, 'e']]",1449,2
