Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Nanalyzers
A1,544.8188236,71,0.423071558,0.432597068,ARIA-PI,12,0.825962651,"[[110.0, 18.454777389908873, 4.175, 'e']]",9623,2
A1,748.6130833,100,0.42181975,0.614436854,ARIA-PI,12,0.761408013,"[[110.0, 17.19441245183796, 4.175, 'e']]",5966,2
A1,386.0223271,54,0.422823224,0.438580145,ARIA-PI,12,0.906683307,"[[109.71714496612549, 21.831226140467866, 4.175, 'e']]",3130,2
A1,710.290108,82,0.42276204,0.507132205,ARIA-PI,12,0.774331493,"[[110.0, 22.028257594866922, 4.175, 'e']]",6574,2
A1,703.8360097,100,0.423273604,0.487636555,ARIA-PI,12,0.880887013,"[[110.0, 21.097019504244603, 4.175, 'e']]",9297,2
A1,612.0171683,93,0.423494562,0.51537353,ARIA-PI,12,0.816970546,"[[110.0, 19.523399777085523, 4.175, 'e']]",6622,2
A1,458.5848822,58,0.423488872,0.453016775,ARIA-PI,12,0.872248553,"[[110.0, 20.35629116611691, 4.175, 'e']]",5710,2
A1,661.1937635,92,0.420848542,0.53155765,ARIA-PI,12,0.831828778,"[[106.8494176864624, 21.67728775351255, 4.175, 'e']]",9452,2
A1,375.0065141,53,0.423525224,0.441512456,ARIA-PI,12,0.879984714,"[[110.0, 19.93917724300996, 4.175, 'e']]",8451,2
A1,485.4617825,75,0.423459994,0.457816989,ARIA-PI,12,0.926952473,"[[110.0, 20.50781359830406, 4.175, 'e']]",4203,2
A1,472.6934397,62,0.423365841,0.351812979,ARIA-PI,12,0.803903689,"[[110.0, 19.034300997222747, 4.175, 'e']]",7692,2
A1,586.6769675,75,0.423472921,0.447343721,ARIA-PI,12,0.784077142,"[[110.0, 20.445120339025035, 4.175, 'e']]",9181,2
A1,555.6879792,75,0.423512647,0.536653777,ARIA-PI,12,0.773815551,"[[110.0, 20.174640993532435, 4.175, 'e']]",2103,2
A1,675.759992,102,0.423047634,0.559439442,ARIA-PI,12,0.873091049,"[[110.0, 18.41834835927597, 4.175, 'e']]",8879,2
A1,558.2202495,75,0.423258507,0.435790999,ARIA-PI,12,0.788219346,"[[110.0, 21.133223458771237, 4.175, 'e']]",5459,2
A1,427.7940059,74,0.422806958,0.483996591,ARIA-PI,12,0.911653727,"[[110.0, 21.961259874620552, 4.175, 'e']]",1449,2
A1,378.9520149,68,0.422507622,0.623112732,ARIA-PI,12,0.444525529,"[[110.0, 22.379495755243916, 4.175, 'e']]",4313,6
A1,327.2699526,86,0.423423794,0.686796022,ARIA-PI,12,0.509263577,"[[110.0, 20.656674538146195, 4.175, 'e']]",2929,6
