Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,regret
A2,1044.636603,40,0.616996759,0.505377079,SRBA,5,0.382908275,"[[82.5089693069458, 100.0, 4.175, 'e']]",4313,0.000470241
A2,1015.285548,35,0.617463761,0.529736989,SRBA,5,0.344730604,"[[81.48930072784424, 100.0, 4.175, 'e']]",2929,3.24E-06
A2,1381.914693,50,0.617456548,0.498214245,SRBA,5,0.361816835,"[[81.69187068939209, 100.0, 4.175, 'e']]",8313,1.05E-05
A2,1461.63152,55,0.617466059,0.525963035,SRBA,5,0.37629183,"[[81.56111240386963, 100.0, 4.175, 'e']]",9494,9.41E-07
A2,1330.084541,55,0.61729208,0.492057901,SRBA,5,0.41350755,"[[80.97588539123535, 100.0, 4.175, 'e']]",6444,0.00017492
A2,1356.491013,50,0.617427518,0.457360682,SRBA,5,0.368598092,"[[81.28305435180664, 100.0, 4.175, 'e']]",5427,3.95E-05
A2,1153.298471,44,0.617430981,0.522533505,SRBA,5,0.381514422,"[[81.29560947418213, 100.0, 4.175, 'e']]",7140,3.60E-05
A2,1021.885572,35,0.61741678,0.543096439,SRBA,5,0.342504102,"[[81.24734878540039, 100.0, 4.175, 'e']]",4889,5.02E-05
A2,1006.287023,35,0.617380671,0.513338392,SRBA,5,0.34781329,"[[81.1496639251709, 100.0, 4.175, 'e']]",247,8.63E-05
A2,879.2433545,30,0.617403451,0.585859003,SRBA,5,0.341202465,"[[81.20808601379395, 100.0, 4.175, 'e']]",9311,6.35E-05
A2,1104.081509,40,0.61746265,0.543607573,SRBA,5,0.362292092,"[[81.63751125335693, 100.0, 4.175, 'e']]",7453,4.35E-06
A2,1369.775209,50,0.617450612,0.510999175,SRBA,5,0.365023397,"[[81.72906875610352, 100.0, 4.175, 'e']]",4054,1.64E-05
A2,1507.129041,55,0.617437923,0.473214736,SRBA,5,0.364932255,"[[81.78947448730469, 100.0, 4.175, 'e']]",742,2.91E-05
A2,1144.469227,50,0.617139208,0.477380586,SRBA,5,0.436883743,"[[82.35127925872803, 100.0, 4.175, 'e']]",4945,0.000327792
A2,1215.369358,44,0.617441645,0.535638891,SRBA,5,0.362029861,"[[81.33878231048584, 100.0, 4.175, 'e']]",9623,2.54E-05
A2,897.8738861,35,0.617165517,0.551767132,SRBA,5,0.389809755,"[[82.31860160827637, 100.0, 4.175, 'e']]",5966,0.000301483
A2,1179.365144,39,0.617460238,0.528591427,SRBA,5,0.330686388,"[[81.66237831115723, 100.0, 4.175, 'e']]",3130,6.76E-06
A2,1326.270863,45,0.617257843,0.520977058,SRBA,5,0.339297207,"[[82.19076156616211, 100.0, 4.175, 'e']]",6574,0.000209157
A2,1156.738143,44,0.617466031,0.509281169,SRBA,5,0.380379952,"[[81.56506538391113, 100.0, 4.175, 'e']]",9297,9.69E-07
A2,1118.910786,39,0.617405763,0.490682315,SRBA,5,0.348553258,"[[81.89767360687256, 100.0, 4.175, 'e']]",6622,6.12E-05
A2,1025.155015,40,0.617291429,0.492840974,SRBA,5,0.390184893,"[[82.13732719421387, 100.0, 4.175, 'e']]",5710,0.000175571
A2,1093.890598,40,0.617017582,0.524279798,SRBA,5,0.36566728,"[[80.62426090240479, 100.0, 4.175, 'e']]",9452,0.000449418
A2,1055.784381,40,0.617456213,0.512846057,SRBA,5,0.378865237,"[[81.41805648803711, 100.0, 4.175, 'e']]",8451,1.08E-05
A2,1127.278248,40,0.61746131,0.519446173,SRBA,5,0.354836972,"[[81.65211200714111, 100.0, 4.175, 'e']]",4203,5.69E-06
A2,1288.574474,45,0.617465113,0.476436381,SRBA,5,0.349223122,"[[81.5992259979248, 100.0, 4.175, 'e']]",7692,1.89E-06
A2,1274.722581,45,0.617465331,0.513770301,SRBA,5,0.353017987,"[[81.51829242706299, 100.0, 4.175, 'e']]",9181,1.67E-06
A2,1208.956208,45,0.617417837,0.526821666,SRBA,5,0.372221919,"[[81.25067710876465, 100.0, 4.175, 'e']]",2103,4.92E-05
A2,1316.152524,50,0.617455397,0.507202507,SRBA,5,0.37989518,"[[81.41245365142822, 100.0, 4.175, 'e']]",8879,1.16E-05
A2,1014.359593,35,0.617455823,0.496641594,SRBA,5,0.34504529,"[[81.69694423675537, 100.0, 4.175, 'e']]",5459,1.12E-05
A2,1380.685459,55,0.616903412,0.463258823,SRBA,5,0.398352859,"[[82.59947776794434, 100.0, 4.175, 'e']]",1449,0.000563588
A2,1210.333304,47,0.615503701,0.552003577,SRBA-PI,5,0.330487477,"[[83.50616931915283, 100.0, 4.175, 'e']]",4313,0.001963299
A2,992.3055064,37,0.615538103,0.560229188,SRBA-PI,5,0.302326247,"[[79.62153434753418, 100.0, 4.175, 'e']]",2929,0.001928897
A2,909.3219828,36,0.615852738,0.504597904,SRBA-PI,5,0.362907756,"[[83.32387924194336, 100.0, 4.175, 'e']]",8313,0.001614262
A2,1014.72262,39,0.615442065,0.544850749,SRBA-PI,5,0.344921847,"[[83.53663444519043, 100.0, 4.175, 'e']]",9494,0.002024935
A2,934.5871564,40,0.617314564,0.485434248,SRBA-PI,5,0.395896731,"[[82.0974588394165, 100.0, 4.175, 'e']]",6444,0.000152436
