Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Ncombos
A1,557.8929859,75,0.422696328,0.672339123,ARIA-PI,9,0.657234767,"[[110.0, 22.12317124992854, 4.175, 'e']]",9623,3
A1,555.1657957,74,0.422333851,0.655314669,ARIA-PI,9,0.66046336,"[[110.0, 22.59799708036619, 4.175, 'e']]",5966,3
A1,500.0295536,73,0.423364081,0.620036366,ARIA-PI,9,0.639962174,"[[110.0, 20.854758493660885, 4.175, 'e']]",3130,3
A1,685.8046936,88,0.420769796,0.733600088,ARIA-PI,9,0.592977375,"[[110.0, 16.53128453728362, 4.175, 'e']]",6574,3
A1,680.8939401,89,0.42152533,0.788801935,ARIA-PI,9,0.607045105,"[[110.0, 16.9885041324088, 4.175, 'e']]",9297,3
A1,567.9157334,78,0.423515308,0.717839448,ARIA-PI,9,0.610419198,"[[110.0, 20.14571328059533, 4.175, 'e']]",6622,3
A1,768.6936701,92,0.423525292,0.748595922,ARIA-PI,9,0.537708777,"[[110.0, 19.929012191902995, 4.175, 'e']]",5710,3
A1,484.0571527,68,0.423373114,0.636601562,ARIA-PI,9,0.647306484,"[[110.0, 19.054025371030146, 4.175, 'e']]",9452,3
A1,559.2230731,78,0.422926562,0.663018301,ARIA-PI,9,0.596065058,"[[110.0, 21.7733261698764, 4.175, 'e']]",8451,3
A1,561.7249731,76,0.42348705,0.713101397,ARIA-PI,9,0.629014821,"[[110.0, 19.47865684437031, 4.175, 'e']]",4203,3
A1,517.2932112,77,0.423139444,0.646606976,ARIA-PI,9,0.683042664,"[[110.0, 18.56385276016228, 4.175, 'e']]",7692,3
A1,546.5329534,65,0.423024974,0.598900554,ARIA-PI,9,0.597707173,"[[109.40643787384033, 20.87007978569626, 4.175, 'e']]",9181,3
A1,451.8446794,67,0.423328778,0.721592955,ARIA-PI,9,0.722962296,"[[110.0, 20.955432674021505, 4.175, 'e']]",2103,3
A1,730.4274979,91,0.423506058,0.67876786,ARIA-PI,9,0.575005735,"[[110.0, 19.604829849290862, 4.175, 'e']]",8879,3
A1,578.0503872,70,0.420951559,0.67959551,ARIA-PI,9,0.599717039,"[[107.92045593261719, 20.66806170034144, 4.143531158669414, 'e']]",5459,3
A1,443.1562208,63,0.422709891,0.563415863,ARIA-PI,9,0.692005781,"[[110.0, 22.103968984759202, 4.175, 'e']]",1449,3
A1,959.1670813,78,0.423237477,0.66868759,ARIA-PI,6,0.625542736,"[[110.0, 21.182076576890882, 4.175, 'e']]",4313,2
A1,712.832631,56,0.423266211,0.623458231,ARIA-PI,6,0.64531277,"[[110.0, 21.114994906942275, 4.175, 'e']]",2929,2
A1,514.2801388,53,0.423064712,0.542179476,ARIA-PI,6,0.77778621,"[[109.4873571395874, 20.929778442729713, 4.175, 'e']]",8313,2
A1,520.3226151,56,0.422544741,0.636860563,ARIA-PI,6,0.749534978,"[[110.0, 22.33079233404641, 4.175, 'e']]",9494,2
A1,719.1667835,66,0.423474408,0.664093774,ARIA-PI,6,0.681344038,"[[110.0, 20.43744179824862, 4.175, 'e']]",6444,2
A1,1027.467536,82,0.423362685,0.641819732,ARIA-PI,6,0.622890726,"[[110.0, 20.85891483156413, 4.175, 'e']]",5427,2
A1,633.8873707,56,0.423043178,0.721552925,ARIA-PI,6,0.678353947,"[[110.0, 21.573145633854402, 4.175, 'e']]",7140,2
A1,799.3196598,72,0.423431995,0.698713151,ARIA-PI,6,0.663063886,"[[110.0, 20.625617578918764, 4.175, 'e']]",4889,2
A1,704.9593192,60,0.422840349,0.625180985,ARIA-PI,6,0.695075569,"[[110.0, 21.910203736173745, 4.175, 'e']]",247,2
A1,813.2296784,69,0.423507484,0.673208142,ARIA-PI,6,0.664019052,"[[110.0, 19.616366757895037, 4.175, 'e']]",9311,2
A1,657.0945289,59,0.421742384,0.64623003,ARIA-PI,6,0.608740421,"[[110.0, 23.257751765772657, 4.175, 'e']]",7453,2
