Benchmark,analysis time,time,Nexps,Nreactors,TCT,operating time ratio of the analyzers,operating time ratio of the reactors,scheduling mode
A1,3 min,1202.453308,46,2,0.899022395,0.280778647,0.899022395,ARIA-PI
A1,3 min,1181.553118,45,2,0.899876585,0.315483562,0.899876585,ARIA-PI
A1,3 min,1317.883117,43,2,0.913681152,0.294148495,0.913681152,ARIA-PI
A1,3 min,1353.028852,43,2,0.931680681,0.276244215,0.931680681,ARIA-PI
A1,3 min,1112.16576,44,2,0.898494934,0.374889279,0.898494934,ARIA-PI
A1,3 min,1315.060811,53,2,0.926458516,0.055008875,0.926458516,ARIA-PI
A1,3 min,1320.419848,52,2,0.89668994,0.076336562,0.89668994,ARIA-PI
A1,3 min,1195.385289,45,2,0.886989886,0.308437044,0.886989886,ARIA-PI
A1,3 min,1341.099181,52,2,0.923952518,0.065801896,0.923952518,ARIA-PI
A1,3 min,1153.000909,46,2,0.916841568,0.305971166,0.916841568,ARIA-PI
A1,3 min,1407.41754,50,2,0.938292312,0.080132834,0.938292312,ARIA-PI
A1,3 min,1398.502096,49,2,0.903450371,0.108732364,0.903450371,ARIA-PI
A1,3 min,1211.875059,47,2,0.920299789,0.251921189,0.920299789,ARIA-PI
A1,3 min,1791.701462,55,2,0.94026351,-0.235921486,0.94026351,ARIA-PI
A1,3 min,1321.904976,51,2,0.934385832,0.099637732,0.934385832,ARIA-PI
A1,3 min,1265.592992,47,2,0.896571752,0.224555681,0.896571752,ARIA-PI
A1,3 min,994.3222621,38,2,0.852583267,0.579268684,0.852583267,ARIA-PI
A1,3 min,1230.278052,42,2,0.814573775,0.362834852,0.814573775,ARIA-PI
A1,3 min,970.0458426,37,2,0.88478484,0.61569355,0.88478484,ARIA-PI
A1,3 min,1412.909285,47,2,0.93739759,0.149508392,0.93739759,ARIA-PI
A1,3 min,984.8568386,39,2,0.920967025,0.560032912,0.920967025,ARIA-PI
A1,3 min,1298.833456,47,2,0.920268994,0.207622003,0.920268994,ARIA-PI
A1,3 min,1060.966413,41,2,0.890538501,0.473144961,0.890538501,ARIA-PI
A1,3 min,1207.388069,43,2,0.910722101,0.350437949,0.910722101,ARIA-PI
A1,3 min,881.7165032,36,2,0.899607349,0.684748874,0.899607349,ARIA-PI
A1,3 min,1090.916241,42,2,0.904439937,0.433829892,0.904439937,ARIA-PI
A1,3 min,305.5698818,49,12,0.589395636,0.665504449,0.589395636,ARIA-PI
A1,3 min,228.095307,65,12,0.697185841,0.320048478,0.697185841,ARIA-PI
A1,3 min,423.1130356,93,12,0.71755081,-0.452916016,0.71755081,ARIA-PI
A1,3 min,305.18899,57,12,0.585826133,0.473236578,0.585826133,ARIA-PI
A1,3 min,214.2824957,57,12,0.652355739,0.519547043,0.652355739,ARIA-PI
A1,3 min,474.7580503,106,12,0.810900721,-0.79197612,0.810900721,ARIA-PI
A1,3 min,198.2441953,42,12,0.524529869,0.888583507,0.524529869,ARIA-PI
