Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Nanalyzers
A1,615.9172184,51,0.423522649,0.301816659,SRIA-PI,12,0.665673873,"[[110.0, 20.03479774076555, 4.175, 'e']]",9623,2
A1,812.3454557,62,0.423076455,0.369591614,SRIA-PI,12,0.677051858,"[[110.0, 21.51216250207062, 4.175, 'e']]",5966,2
A1,626.8785554,53,0.423342745,0.350817222,SRIA-PI,12,0.733794442,"[[110.0, 18.974204722020556, 4.175, 'e']]",3130,2
A1,626.8057256,54,0.421365143,0.354799465,SRIA-PI,12,0.74983361,"[[110.0, 23.632644806732547, 4.175, 'e']]",6574,2
A1,644.2255514,53,0.423139146,0.281461896,SRIA-PI,12,0.69851312,"[[110.0, 18.563404354249652, 4.175, 'e']]",9297,2
A1,648.1980919,58,0.420573793,0.32256624,SRIA-PI,12,0.725086985,"[[110.0, 24.345612036991493, 4.175, 'e']]",6622,2
A1,622.3258094,55,0.421242418,0.371743629,SRIA-PI,12,0.787368919,"[[110.0, 23.748902873439018, 4.175, 'e']]",5710,2
A1,756.00365,64,0.423512484,0.394129655,SRIA-PI,12,0.661372468,"[[110.0, 20.176323148472324, 4.175, 'e']]",9452,2
A1,434.0448368,38,0.423177217,0.313905009,SRIA-PI,12,0.737251023,"[[110.0, 21.3135683867246, 4.175, 'e']]",8451,2
A1,619.7967338,56,0.423520296,0.319025694,SRIA-PI,12,0.790581772,"[[110.0, 19.756744871850156, 4.175, 'e']]",4203,2
A1,1016.091277,83,0.421690273,0.321637367,SRIA-PI,12,0.65938958,"[[107.6697587966919, 21.877769552192998, 4.175, 'e']]",7692,2
A1,642.8454054,50,0.423165511,0.311162573,SRIA-PI,12,0.715568621,"[[110.0, 18.608570594771557, 4.175, 'e']]",9181,2
A1,568.323402,48,0.423523987,0.348926541,SRIA-PI,12,0.703824616,"[[110.0, 20.000098103530757, 4.175, 'e']]",2103,2
A1,822.4892361,71,0.421695803,0.359159167,SRIA-PI,12,0.644385333,"[[110.0, 17.105479514837263, 4.175, 'e']]",8879,2
A1,479.9231647,48,0.422860304,0.40550053,SRIA-PI,12,0.854303418,"[[110.0, 21.8792438830708, 4.175, 'e']]",5459,2
A1,867.291712,71,0.423282858,0.374642378,SRIA-PI,12,0.611097734,"[[110.0, 21.074474512804628, 4.175, 'e']]",1449,2
A1,476.675889,55,0.423227392,0.446277909,SRIA-PI,12,0.5559333,"[[110.0, 21.204915659023253, 4.175, 'e']]",4313,4
A1,374.8331253,43,0.422350777,0.358964178,SRIA-PI,12,0.506892233,"[[110.0, 22.577211377538735, 4.175, 'e']]",2929,4
A1,677.5838703,60,0.423521373,0.3672407,SRIA-PI,12,0.405853817,"[[110.0, 20.060207052912936, 4.175, 'e']]",8313,4
A1,457.8092788,48,0.423119347,0.419785414,SRIA-PI,12,0.502392613,"[[110.0, 18.530635108062857, 4.175, 'e']]",9494,4
A1,520.088754,65,0.420401141,0.419764169,SRIA-PI,12,0.509528418,"[[110.0, 24.491213834205013, 4.175, 'e']]",6444,4
A1,665.5789913,76,0.422285294,0.42943028,SRIA-PI,12,0.420686355,"[[110.0, 17.567188029297792, 4.175, 'e']]",5427,4
A1,548.8002983,58,0.423467389,0.410474687,SRIA-PI,12,0.446428329,"[[110.0, 19.379221189919328, 4.175, 'e']]",7140,4
A1,516.1850793,54,0.423482687,0.381085051,SRIA-PI,12,0.464949511,"[[110.0, 20.392540757768362, 4.175, 'e']]",4889,4
A1,402.2454262,44,0.422773874,0.350378625,SRIA-PI,12,0.459918219,"[[110.0, 18.058703530928717, 4.175, 'e']]",247,4
A1,488.0991405,61,0.423173542,0.431991026,SRIA-PI,12,0.532678668,"[[110.0, 21.321295176048462, 4.175, 'e']]",9311,4
A1,554.8219272,71,0.423249482,0.42865012,SRIA-PI,12,0.522690229,"[[110.0, 21.15444055471204, 4.175, 'e']]",7453,4
A1,324.0364213,45,0.422751593,0.43932142,SRIA-PI,12,0.632644933,"[[110.0, 22.043657430886757, 4.175, 'e']]",4054,4
A1,404.4660653,54,0.422376972,0.492918663,SRIA-PI,12,0.56865092,"[[110.0, 17.64970921649661, 4.175, 'e']]",742,4
A1,595.1201321,69,0.423431845,0.411466485,SRIA-PI,12,0.487296572,"[[110.0, 19.236837337991382, 4.175, 'e']]",4945,4
