Benchmark	time	Nexps	objective	operating time ratio of the reactors	scheduling mode	Nreactors	operating time ratio of the analyzers	condition	random_seed	regret
A1	2263.725759	52	0.423492828	0.638207611	SRBA-PI	2	0.225292308	"[[110.0, 20.331435994644558, 4.175, 'e']]"	742	3.32E-05
A1	1499.353608	40	0.423424998	0.607957236	SRBA-PI	2	0.26678163	"[[110.0, 20.652327491715084, 4.175, 'e']]"	4945	0.000101002
A1	1101.284821	34	0.423000421	0.59452563	SRBA-PI	2	0.308730306	"[[110.0, 21.64872782815466, 4.175, 'e']]"	9623	0.000525579
A1	1681.719922	43	0.423346971	0.640348996	SRBA-PI	2	0.255690614	"[[110.0, 18.984961443403108, 4.175, 'e']]"	5966	0.000179029
A1	1466.752217	38	0.423206514	0.58933948	SRBA-PI	2	0.259075797	"[[110.0, 21.251001673759255, 4.175, 'e']]"	3130	0.000319486
A1	2165.126708	50	0.423298009	0.641121231	SRBA-PI	2	0.226314699	"[[110.0, 21.03637032540456, 4.175, 'e']]"	6574	0.000227991
A1	1364.632976	34	0.42251001	0.550040344	SRBA-PI	2	0.249151241	"[[110.0, 17.77641979770954, 4.175, 'e']]"	9297	0.00101599
A1	1570.491996	37	0.422144566	0.605204979	SRBA-PI	2	0.235594961	"[[110.0, 22.821264112001323, 4.175, 'e']]"	6622	0.001381434
A1	1437.833202	38	0.421492879	0.639622514	SRBA-PI	2	0.257331657	"[[107.99304485321045, 20.099531741626457, 4.175, 'e']]"	5710	0.002033121
A1	1338.96901	33	0.423223724	0.519703211	SRBA-PI	2	0.246458281	"[[110.0, 18.71505754749714, 4.175, 'e']]"	9452	0.000302276
A1	1541.877586	35	0.422309376	0.534542448	SRBA-PI	2	0.226995971	"[[110.0, 22.6276633619162, 4.175, 'e']]"	8451	0.001216624
A1	1734.156101	41	0.42352532	0.63714778	SRBA-PI	2	0.230659743	"[[110.0, 19.91849557071385, 4.175, 'e']]"	4203	6.80E-07
A1	1239.866044	33	0.423524014	0.579704224	SRBA-PI	2	0.266157785	"[[110.0, 19.999234848345456, 4.175, 'e']]"	7692	1.99E-06
A1	1775.86785	42	0.423442238	0.687520683	SRBA-PI	2	0.236504085	"[[110.0, 20.584774847240787, 4.175, 'e']]"	9181	8.38E-05
A1	1308.814333	31	0.423460355	0.616146182	SRBA-PI	2	0.236855597	"[[110.0, 20.506070033866383, 4.175, 'e']]"	2103	6.56E-05
A1	1677.685967	39	0.423464689	0.557142545	SRBA-PI	2	0.232463052	"[[110.0, 20.48568316738443, 4.175, 'e']]"	8879	6.13E-05
A1	1238.754937	33	0.423279002	0.593515932	SRBA-PI	2	0.266396516	"[[109.69549655914307, 20.383256554654896, 4.175, 'e']]"	5459	0.000246998
A1	907.3689691	26	0.42238574	0.532524323	SRBA-PI	2	0.28654275	"[[108.63027095794678, 21.736793812513906, 4.175, 'e']]"	1449	0.00114026
A1	1647.539025	50	0.42350713	0.649126827	SRIA	2	0.303482948	"[[110.0, 20.226056364176053, 4.175, 'e']]"	4313	1.89E-05
A1	1550.109908	46	0.423524092	0.700402893	SRIA	2	0.296753151	"[[110.0, 19.996789389697085, 4.175, 'e']]"	2929	1.91E-06
A1	1426.106972	39	0.423112107	0.669418666	SRIA	2	0.273471772	"[[110.0, 21.44448724843346, 4.175, 'e']]"	8313	0.000413893
A1	1413.672163	42	0.421871332	0.675953542	SRIA	2	0.297098585	"[[110.0, 23.122538805601792, 4.175, 'e']]"	9494	0.001654668
A1	1408.747374	44	0.423145919	0.67826842	SRIA	2	0.312334211	"[[110.0, 21.37782439337797, 4.175, 'e']]"	6444	0.000380081
A1	1676.751571	48	0.423506026	0.679484445	SRIA	2	0.28626781	"[[110.0, 20.235382830353906, 4.175, 'e']]"	5427	2.00E-05
A1	1827.912221	44	0.423463074	0.705828657	SRIA	2	0.240711778	"[[110.0, 19.359979863826652, 4.175, 'e']]"	7140	6.29E-05
A1	1735.00288	42	0.423504869	0.727723729	SRIA	2	0.242074526	"[[110.0, 20.244881695869953, 4.175, 'e']]"	4889	2.11E-05
A1	1564.184389	48	0.423523229	0.624672458	SRIA	2	0.306869192	"[[110.0, 19.81337033558529, 4.175, 'e']]"	247	2.77E-06
A1	1829.342855	56	0.423405778	0.688959807	SRIA	2	0.306120856	"[[110.0, 20.721274892343057, 4.175, 'e']]"	9311	0.000120222
A1	1866.603261	50	0.423450718	0.6473528	SRIA	2	0.267866242	"[[110.0, 20.549148049370643, 4.175, 'e']]"	7453	7.53E-05
A1	1435.289606	42	0.422773662	0.649308864	SRIA	2	0.292623871	"[[110.0, 22.01106949536484, 4.175, 'e']]"	4054	0.000752338
A1	1953.862119	53	0.423519119	0.682676533	SRIA	2	0.271257626	"[[110.0, 20.09674993088458, 4.175, 'e']]"	742	6.88E-06
A1	1625.399371	48	0.423426151	0.650368286	SRIA	2	0.295312038	"[[110.0, 20.64794877109901, 4.175, 'e']]"	4945	9.98E-05
A1	1388.590833	42	0.423521936	0.646344707	SRIA	2	0.302464909	"[[110.0, 20.049571669020136, 4.175, 'e']]"	9623	4.06E-06
A1	1564.035866	46	0.423361171	0.67582198	SRIA	2	0.294110902	"[[110.0, 20.86349291414291, 4.175, 'e']]"	5966	0.000164829
A1	1398.506581	42	0.423272367	0.648294798	SRIA	2	0.30032036	"[[110.0, 21.10012366090427, 4.175, 'e']]"	3130	0.000253633
A1	1900.217335	44	0.423524894	0.722888967	SRIA	2	0.231552461	"[[110.0, 19.96395838663784, 4.175, 'e']]"	6574	1.11E-06
A1	1505.189514	44	0.423386991	0.675070716	SRIA	2	0.292321994	"[[110.0, 20.78381514183517, 4.175, 'e']]"	9297	0.000139009
A1	1670.320013	46	0.423523258	0.682899619	SRIA	2	0.275396329	"[[110.0, 20.02045646692415, 4.175, 'e']]"	6622	2.74E-06
A1	1453.805204	41	0.423522927	0.680937281	SRIA	2	0.282018526	"[[110.0, 20.0284085240361, 4.175, 'e']]"	5710	3.07E-06
A1	1672.165027	50	0.423413021	0.655039688	SRIA	2	0.299013549	"[[110.0, 20.695893121587176, 4.175, 'e']]"	9452	0.000112979
A1	1531.981176	44	0.423239882	0.654003753	SRIA	2	0.287209795	"[[110.0, 21.176547938867035, 4.175, 'e']]"	8451	0.000286118
A1	1516.568059	41	0.423503996	0.676382227	SRIA	2	0.270347247	"[[110.0, 20.25198896727367, 4.175, 'e']]"	4203	2.20E-05
A1	1647.127865	44	0.423522087	0.634061073	SRIA	2	0.26713166	"[[110.0, 20.046644075276397, 4.175, 'e']]"	7692	3.91E-06
A1	1572.603342	45	0.423474761	0.642544347	SRIA	2	0.286149716	"[[110.0, 20.435524717194767, 4.175, 'e']]"	9181	5.12E-05
A1	1737.083	46	0.423309879	0.698503282	SRIA	2	0.264811756	"[[110.0, 18.895346020805494, 4.175, 'e']]"	2103	0.000216121
A1	1324.76192	36	0.423424398	0.655507431	SRIA	2	0.271746941	"[[110.0, 19.21087838129314, 4.175, 'e']]"	8879	0.000101602
A1	1129.578503	38	0.423387715	0.663316415	SRIA	2	0.336408668	"[[110.0, 20.78136216252435, 4.175, 'e']]"	5459	0.000138285
A1	1513.593587	42	0.423419273	0.631561465	SRIA	2	0.277485319	"[[110.0, 20.67339516499173, 4.175, 'e']]"	1449	0.000106727
A1	711.2494053	39	0.423516241	0.533292649	SRIA-PI	5	0.506151566	"[[110.0, 20.13476451287679, 4.175, 'e']]"	4313	9.76E-06
A1	1022.59279	45	0.422907012	0.482545413	SRIA-PI	5	0.391162547	"[[110.0, 18.222651263160607, 4.175, 'e']]"	2929	0.000618988
A1	728.0075314	42	0.423507401	0.497220908	SRIA-PI	5	0.5082365	"[[110.0, 20.2237982790024, 4.175, 'e']]"	8313	1.86E-05
A1	676.8647485	34	0.423296462	0.577293717	SRIA-PI	5	0.47276801	"[[110.0, 18.865031495476195, 4.175, 'e']]"	9494	0.000229538
A1	931.7778011	47	0.423521436	0.523356101	SRIA-PI	5	0.418554724	"[[110.0, 20.059093431238473, 4.175, 'e']]"	6444	4.56E-06
A1	1013.260376	50	0.423516061	0.500847802	SRIA-PI	5	0.414503528	"[[110.0, 20.13685927225493, 4.175, 'e']]"	5427	9.94E-06
A1	729.8868062	40	0.42326767	0.495748325	SRIA-PI	5	0.452124901	"[[110.0, 21.111462634843495, 4.175, 'e']]"	7140	0.00025833
A1	901.9258868	44	0.423517182	0.485078248	SRIA-PI	5	0.454582806	"[[110.0, 20.123135377816034, 4.175, 'e']]"	4889	8.82E-06
A1	820.518145	44	0.423191349	0.506320833	SRIA-PI	5	0.511871678	"[[110.0, 21.283730560763427, 4.175, 'e']]"	247	0.000334651
A1	837.5908777	40	0.422835652	0.455814573	SRIA-PI	5	0.429804108	"[[110.0, 18.13260594676733, 4.175, 'e']]"	9311	0.000690348
A1	873.4222322	39	0.423271059	0.438630289	SRIA-PI	5	0.435070217	"[[110.0, 21.103305026592864, 4.175, 'e']]"	7453	0.000254941
A1	890.1642854	44	0.423521056	0.494672506	SRIA-PI	5	0.471823018	"[[110.0, 20.065839429052055, 4.175, 'e']]"	4054	4.94E-06
A1	706.8666811	36	0.42275864	0.44600754	SRIA-PI	5	0.509289813	"[[110.0, 22.03332214261984, 4.175, 'e']]"	742	0.00076736
A1	854.4751236	42	0.421223911	0.411980668	SRIA-PI	5	0.479826725	"[[110.0, 23.766290052984687, 4.175, 'e']]"	4945	0.002302089
A1	920.4697682	45	0.423209416	0.465893641	SRIA-PI	5	0.478016786	"[[110.0, 21.244742138040834, 4.175, 'e']]"	9623	0.000316584
A1	861.9469772	42	0.423484089	0.472825857	SRIA-PI	5	0.464065668	"[[110.0, 20.38451406757496, 4.175, 'e']]"	5966	4.19E-05
A1	860.8283774	47	0.423523137	0.555789977	SRIA-PI	5	0.499518849	"[[110.0, 20.023363747635194, 4.175, 'e']]"	3130	2.86E-06
A1	987.9921693	52	0.423239591	0.571414045	SRIA-PI	5	0.455469197	"[[110.0, 21.177323953976117, 4.175, 'e']]"	6574	0.000286409
A1	698.4464119	38	0.421529619	0.49018913	SRIA-PI	5	0.529747156	"[[108.16000461578369, 23.46307192714142, 4.175, 'e']]"	9297	0.001996381
A1	620.0987953	36	0.423250198	0.589618346	SRIA-PI	5	0.532173264	"[[110.0, 21.152668142182748, 4.175, 'e']]"	6622	0.000275802
A1	744.3137166	38	0.423434004	0.461304648	SRIA-PI	5	0.497102219	"[[110.0, 20.617718446126137, 4.175, 'e']]"	5710	9.20E-05
A1	756.2047038	42	0.422974172	0.516434462	SRIA-PI	5	0.489285504	"[[109.79001522064209, 21.58431666779491, 4.175, 'e']]"	9452	0.000551828
A1	822.0073143	40	0.422132212	0.514661065	SRIA-PI	5	0.450117649	"[[110.0, 17.436897688665805, 4.175, 'e']]"	8451	0.001393788
A1	923.2189762	43	0.423523596	0.54996703	SRIA-PI	5	0.433266658	"[[110.0, 19.822951320018685, 4.175, 'e']]"	4203	2.40E-06
A1	813.6854584	35	0.42352519	0.564080099	SRIA-PI	5	0.417851882	"[[110.0, 19.94284729122704, 4.175, 'e']]"	7692	8.10E-07
A1	1005.968219	46	0.422500352	0.552633906	SRIA-PI	5	0.407567547	"[[110.0, 17.766919015899067, 4.175, 'e']]"	9181	0.001025648
A1	788.533281	42	0.423525032	0.471632114	SRIA-PI	5	0.519952689	"[[110.0, 19.955633418448834, 4.175, 'e']]"	2103	9.68E-07
A1	1090.731441	55	0.423228134	0.489532792	SRIA-PI	5	0.440071664	"[[110.0, 21.203313619377376, 4.175, 'e']]"	8879	0.000297866
A1	590.8102464	36	0.423405536	0.512470295	SRIA-PI	5	0.558554971	"[[110.0, 20.72213518587794, 4.175, 'e']]"	5459	0.000120464
A1	769.7312335	41	0.423216167	0.42903872	SRIA-PI	5	0.506670358	"[[110.0, 21.229856723861637, 4.175, 'e']]"	1449	0.000309833
A1	880.014091	36	0.422986423	0.34452865	SRBA-PI	5	0.38635745	"[[110.0, 18.329705621177446, 4.175, 'e']]"	4313	0.000539577
A1	1375.127611	49	0.423368735	0.384338034	SRBA-PI	5	0.298154147	"[[110.0, 19.04201946784463, 4.175, 'e']]"	2929	0.000157265
A1	787.836374	36	0.423482451	0.352687102	SRBA-PI	5	0.431561694	"[[110.0, 20.39391639937229, 4.175, 'e']]"	8313	4.35E-05
A1	1097.285722	44	0.422732013	0.468574607	SRBA-PI	5	0.346309072	"[[110.0, 22.07208554511363, 4.175, 'e']]"	9494	0.000793987
A1	705.6383073	32	0.422862317	0.331072264	SRBA-PI	5	0.453490119	"[[110.0, 18.16565110306127, 4.175, 'e']]"	6444	0.000663683
A1	1202.023617	50	0.423350041	0.385150651	SRBA-PI	5	0.36604938	"[[110.0, 20.895840082152045, 4.175, 'e']]"	5427	0.000175959
A1	757.2776279	32	0.423462398	0.360785049	SRBA-PI	5	0.409361096	"[[110.0, 20.496507692929125, 4.175, 'e']]"	7140	6.36E-05
A1	1073.81642	43	0.42170414	0.537467387	SRBA-PI	5	0.363190572	"[[110.0, 23.29703059440336, 4.175, 'e']]"	4889	0.00182186
A1	1181.970089	41	0.423521253	0.356888016	SRBA-PI	5	0.338418039	"[[110.0, 20.06244411886705, 4.175, 'e']]"	247	4.75E-06
A1	1280.299489	46	0.423321178	0.409586276	SRBA-PI	5	0.304616227	"[[110.0, 18.92171869089697, 4.175, 'e']]"	9311	0.000204822
A1	1244.566965	45	0.423459486	0.345323531	SRBA-PI	5	0.329431852	"[[110.0, 20.510159693330046, 4.175, 'e']]"	7453	6.65E-05
A1	1065.838617	46	0.423144509	0.432886177	SRBA-PI	5	0.403438188	"[[110.0, 21.38058546050765, 4.175, 'e']]"	4054	0.000381491
A1	1070.942045	40	0.422387015	0.368306547	SRBA-PI	5	0.373502938	"[[110.0, 22.532511841992452, 4.175, 'e']]"	742	0.001138985
A1	984.2743846	42	0.423101067	0.409442312	SRBA-PI	5	0.416550513	"[[110.0, 18.703391007018787, 4.169995054733109, 'e']]"	4945	0.000424933
A1	1062.083864	44	0.421943662	0.402994086	SRBA-PI	5	0.395448998	"[[110.0, 23.044886703771713, 4.175, 'e']]"	9623	0.001582338
A1	1062.335059	41	0.423497393	0.357524586	SRBA-PI	5	0.357702588	"[[110.0, 19.541709235976015, 4.175, 'e']]"	5966	2.86E-05
A1	1266.668475	46	0.423386264	0.43181619	SRBA-PI	5	0.323683748	"[[110.0, 19.091299002858126, 4.175, 'e']]"	3130	0.000139736
A1	1352.464436	51	0.422772537	0.454741365	SRBA-PI	5	0.347513759	"[[110.0, 22.012693291207594, 4.175, 'e']]"	6574	0.000753463
A1	1303.445721	54	0.422979021	0.336448698	SRBA-PI	5	0.352910745	"[[110.0, 21.685577951058644, 4.175, 'e']]"	9297	0.000546979
