0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.043391906,0.102182784,0.189639093,0.001866568,0.37576083,0.040122935,0.352145372,0.000335046,0.405611713,0.302167385,0.013530055,0.06218069,0.157748689,0.08163256,0.085422527,0.133037282,0.042082033,0.304211579,0.174187496,0.155517703,0.184890733,0.087967406,0.083207126,0.375504714,0.103110419,0.260363724,0.120544851,0.275606829,0.111442481,0.025607283,0.00657956,0.425270558,0.125270824,0.084381525,0.30688332,0.431496565,0.265160436,0.218077541,0.017700718,0.056617745,0.001141686,0.061758575,0.018959757,0.147869547,0.009325102,0.152487466,0.007332058,0.123198036,0.531663156,0.241468027,0.219196392,0.189176839,0.004522642,0.018737601,0.015063508,0.361610907,0.032687103,0.18190972,0.298836752,0.042990583
0.383015876,0.040443143,0.352485307,0.036461138,0.195243951,0.393981534,0.002279887,0.38931564,0.290381068,0.130486391,0.078368423,0.027583164,0.369279869,0.050913538,0.337538066,0.245725029,0.155519854,0.010968895,0.098799765,0.238701409,0.051494191,0.106904167,0.25881204,0.018086,0.077028756,0.219903358,0.032087354,0.434650541,0.072933898,0.301612953,0.046289246,0.041322777,0.041333397,0.030675589,0.130218083,0.011666285,0.31517412,0.02905315,0.012710526,0.104581436,0.087651231,0.055571276,0.366327864,0.205108234,0.341532163,0.022238236,0.014477627,0.073521384,0.385095501,0.072851828,0.155199623,0.021619184,0.284683608,0.030037015,0.102133956,0.466043872,0.043445956,0.004602733,0.036886984,0.072449661
0.045442675,0.184223706,0.090105277,0.164435528,0.322351584,0.179355254,0.109881849,0.257375545,0.024304202,0.027718872,0.34319241,0.369142143,0.019422016,0.149680701,0.027530227,0.011555391,0.010408412,0.045487846,0.129331789,0.0696174,0.223533981,0.279604028,0.32869602,0.099707899,0.233534441,0.14310007,0.159737974,0.193025471,0.157527125,0.232141556,0.043694865,0.228892344,0.194445124,0.199050509,0.360434629,0.084767537,0.124092905,0.227924263,0.017103666,0.257010508,0.125966588,0.173830403,0.154942455,0.357050168,0.003742456,0.007103479,0.05828181,0.311713811,0.069418669,0.013908827,0.002326432,0.231073782,0.059988231,0.015846179,0.297047512,0.007199885,0.056634561,0.021466813,0.244671356,0.06974375
0.039855955,0.355784493,0.140063343,0.002281063,0.379613915,0.300452212,0.169763636,0.03111173,0.4596116,0.074818074,0.140372296,0.189173994,0.010492986,0.206939881,0.269776535,0.03724714,0.01753733,0.056884757,0.24632919,0.119642558,0.010402364,0.260901222,0.085240958,0.01147764,0.067050698,0.008324224,0.085788966,0.162763021,0.13834991,0.202449571,0.298972005,0.015835609,0.119218308,0.014794623,0.018507687,0.079818647,0.161149498,0.067231785,0.47738796,0.028574282,0.386944153,0.205243019,0.127536895,0.218702582,0.266970197,0.006011898,0.324366644,0.11214671,0.004813336,0.00478743,0.085756428,0.003147356,0.02839008,0.021171901,0.193497485,0.100647089,0.288074073,0.098656995,0.013642922,0.175344905
0.278584524,0.201430712,0.022775675,0.357800052,0.260104636,0.158657098,0.17092822,0.38586922,0.002207967,0.022448183,0.248319552,0.035442445,0.058335534,0.054455535,0.295122033,0.14317102,0.159884185,0.04227458,0.37502395,0.162233821,0.099075505,0.08998398,0.100295987,0.092859063,0.126708487,0.002936836,0.207987795,0.081099032,0.167344462,0.052282616,0.073532655,0.300063521,0.242096588,0.18593952,0.112861972,0.323814898,0.26129917,0.453120256,0.237302162,0.110130801,0.054061787,0.012804024,0.012913782,0.420015818,0.009626664,0.189430763,0.163801639,0.013898316,0.032941287,0.034186052,0.368594069,0.075864191,0.147188424,0.065299754,0.286119901,0.009646415,0.318542041,0.344319266,0.011638404,0.045194813
0.279875606,0.016836943,0.105207526,0.329326463,0.009959908,0.211385127,0.158211988,0.34364196,0.230576295,0.105798653,0.03499507,0.028774075,0.107189836,0.327374134,0.157962215,0.029733959,0.110488777,0.149722078,0.436754419,0.485720253,0.193128316,0.086549503,0.073491414,0.149405345,0.134778165,0.269600597,0.014303334,0.169909478,0.018241351,0.013050807,0.053748433,0.251257092,0.418878725,0.159042473,0.043221637,0.471927936,0.072006436,0.231058311,0.063089069,0.008362348,0.099010128,0.388165317,0.122733127,0.012475984,0.023205757,0.347104604,0.504154169,0.165085096,0.040938144,0.270387845,0.474993261,0.020463313,0.27402251,0.330102787,0.104423348,0.098489147,0.136054791,0.20071622,0.016757147,0.22318375
0.27853386,0.062601769,0.017055072,0.083249306,0.292196519,0.09374173,0.111469125,0.125017689,0.020935239,0.201147015,0.011898642,0.054684147,0.148184776,0.193320539,0.024778792,0.420801429,0.247603558,0.071610078,0.042833978,0.004418342,0.326245737,0.007168344,0.280154798,0.320139952,0.02800781,0.233059401,0.148507641,0.047962771,0.065076613,0.123358715,0.086439944,0.170428822,0.030537931,0.182563104,0.064328402,0.133563988,0.228475096,0.055445815,0.003607907,0.259039523,0.359114341,0.016771477,0.301313547,0.034564975,0.254748356,0.301008231,0.229992348,0.035913306,0.444598803,0.235668298,0.157007248,0.284730293,0.20940086,0.041270131,0.056390388,0.258980925,0.018608506,0.056955224,0.141196087,0.368604253
0.139420694,0.053998058,0.023620152,0.156140688,0.418856294,0.115514943,0.313171434,0.068240633,0.027887622,0.005182616,0.026554066,0.179163557,0.048565549,0.034899872,0.162523579,0.257201069,0.002761363,0.182075485,0.007648845,0.067021127,0.32108212,0.069799812,0.016330246,0.07894239,0.02497396,0.167046487,0.216950322,0.551667384,0.018025117,0.074600962,0.16787774,0.021182198,0.146286575,0.409793008,0.120746831,0.375063329,0.149939262,0.233210826,0.214140863,0.123467338,0.318937662,0.059582947,0.044732003,0.00283481,0.014926698,0.39026576,0.124296801,0.391706603,0.17236897,0.167609392,0.056054662,0.116160605,0.117527343,0.174271023,0.277470268,0.042431922,0.397211456,0.020059414,0.301566552,0.322493
0.292458185,0.059701527,0.026842036,0.265459922,0.166922161,0.016319371,0.402281484,0.141871804,0.170451337,0.064602411,0.002778064,0.307662303,0.209622376,0.070214303,0.395103097,0.058945984,0.063274944,0.015311772,0.355318804,0.015070453,0.039784578,0.285061423,0.071054429,0.376800041,0.471138766,0.220716408,0.237400296,0.026405683,0.019479777,0.188356709,0.264255932,0.250700937,0.011451331,0.39235121,0.037962819,0.016143228,0.041674264,0.443666794,0.013219138,0.127987247,0.145486825,0.069512933,0.005601277,0.269608444,0.24473135,0.046692375,0.133871278,0.214084073,0.143432662,0.029502807,0.490178066,0.014249772,0.074528045,0.058154707,0.260254271,0.22844205,0.068443067,0.023552147,0.141840296,0.31985415
0.103038822,0.007558185,0.206046283,0.252287025,0.165562021,0.174812631,0.106960391,0.293304576,0.101934637,0.338871437,0.016944383,0.004184449,0.01096009,0.221903498,0.003574953,0.01126126,0.308442863,0.094365922,0.328407147,0.042317145,0.35039445,0.067406385,0.039687902,0.31725754,0.063958391,0.211322949,0.110115786,0.140025971,0.031872883,0.114172371,0.010581767,0.032763129,0.076924536,0.220625718,0.202498537,0.15076689,0.235961839,0.506821011,0.210060215,0.036122989,0.106900031,0.213460826,0.193051096,0.374128773,0.017984831,0.516840638,0.008381749,0.430109977,0.200424981,0.189585106,0.025629534,0.057602102,0.092085981,0.303783967,0.011896983,0.328392551,0.278412513,0.176499001,0.323169334,0.255157202
